price,n_accommodates,n_bathrooms,n_beds,n_guests_included,n_extra_people,n_minimum_nights,n_number_of_reviews,n_review_scores_rating,n_reviews_per_month,n_days_since,p_host_response_rate,f_property_type,f_room_type,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,d_hourcheckin,d_airconditioning,d_breakfast,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_dogs,d_doorman,d_doormanentry,d_dryer,d_elevatorinbuilding,d_essentials,d_familykidfriendly,d_fireextinguisher,d_firstaidkit,d_freeparkingonpremises,d_freeparkingonstreet,d_gym,d_hairdryer,d_hangers,d_heating,d_hottub,d_indoorfireplace,d_internet,d_iron,d_keypad,d_kitchen,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_otherpets,d_paidparkingoffpremises,d_petsallowed,d_petsliveonthisproperty,d_pool,d_privateentrance,d_privatelivingroom,d_safetycard,d_selfcheckin,d_shampoo,d_smartlock,d_smokedetector,d_smokingallowed,d_suitableforevents,d_tv,d_washer,d_washerdryer,d_wheelchairaccessible,d_wirelessinternet,neighbourhood_cleansed,property_type,room_type,usd_price_day,usd_cleaning_fee,cancellation_policy,ln_price,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,f_bathroom,ln_number_of_reviews,f_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,n_days_since2,n_days_since3,ln_review_scores_rating,f_minimum_nights
65,2,1.5,1,1,10,1,3,92,.06,1467,100,Apartment,Private room,flexible,Real Bed,Hackney,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,Hackney,Apartment,Private room,65.00,,flexible,4.1743875,4,.69314718,.48045301,0,1,1.3862944,1,7.2909746,53.15831,387.5759,2152089,3157114624,4.5217886,1
30,2,3,1,1,0,1,2,90,.1,573,,House,Private room,moderate,Real Bed,Hackney,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,Hackney,House,Private room,30.00,,moderate,3.4011974,4,.69314718,.48045301,0,2,1.0986123,1,6.3508859,40.333752,256.15506,328329,188132512,4.4998097,1
150,7,1.5,5,1,10,2,32,97,.55,1739,100,Apartment,Private room,moderate,Couch,Hackney,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,Hackney,Apartment,Private room,150.00,,moderate,5.0106354,49,1.9459101,3.786566,1.6094379,1,3.4965076,1,7.4610653,55.667496,415.33881,3024121,5258946560,4.5747108,2
29,2,1.5,1,1,0,1,52,94,2.62,593,100,House,Private room,moderate,Real Bed,Hackney,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Hackney,House,Private room,29.00,25,moderate,3.3672957,4,.69314718,.48045301,0,1,3.9702919,2,6.3851943,40.770706,260.32889,351649,208527856,4.5432949,1
65,2,1,2,3,0,2,55,88,1.13,1463,100,Apartment,Entire home/apt,moderate,Real Bed,Hackney,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Hackney,Apartment,Entire home/apt,65.00,20,moderate,4.1743875,4,.69314718,.48045301,.69314718,1,4.0253515,2,7.2882442,53.118504,387.14063,2140369,3131359744,4.4773369,2
165,5,2,2,1,0,2,2,100,.08,797,100,Apartment,Entire home/apt,strict,Real Bed,Hackney,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,Hackney,Apartment,Entire home/apt,165.00,30,strict,5.1059456,25,1.6094379,2.5902905,.69314718,2,1.0986123,1,6.6808548,44.63382,298.19208,635209,506261568,4.6051702,2
95,3,1,1,1,0,2,27,96,.78,1037,,Apartment,Entire home/apt,moderate,Real Bed,Hackney,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Hackney,Apartment,Entire home/apt,95.00,30,moderate,4.5538769,9,1.0986123,1.206949,0,1,3.3322046,1,6.944087,48.220345,334.84628,1075369,1115157632,4.5643482,2
65,4,1,2,2,5,2,3,100,.69,130,100,House,Entire home/apt,moderate,Real Bed,Hackney,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,Hackney,House,Entire home/apt,65.00,15,moderate,4.1743875,16,1.3862944,1.9218121,.69314718,1,1.3862944,1,4.8675346,23.692894,115.32598,16900,2197000,4.6051702,2
28,2,1,1,1,0,1,2,90,.34,174,100,Apartment,Private room,moderate,Real Bed,Hackney,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,Hackney,Apartment,Private room,28.00,,moderate,3.3322046,4,.69314718,.48045301,0,1,1.0986123,1,5.1590552,26.61585,137.31264,30276,5268024,4.4998097,1
156,6,2,4,4,0,1,0,,,,100,House,Entire home/apt,moderate,Real Bed,Hackney,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,Hackney,House,Entire home/apt,156.00,30,moderate,5.0498562,36,1.7917595,3.210402,1.3862944,2,0,0,,,,,,,1
